review,rating,final_text,sentiment
"tolong banget nih ya, makanan nya belum dimasak, driver nya belum dapat; susah banget buat dapat driver, nunggu makanan nya lama, udah lama nunggu ternyata dibatalin. tolong kalau drivernya ga dapet dan udah lama nunggu, please banget Adain fitur untuk MEMBATALKAN, makanannya pun belum dimasak itu, pembeli yang rugi waktunya menunggu sia-sia.",1,banget nih makan belum masak driver belum susah banget buat driver nunggu makan lama lama nunggu nyata dibatalin kalau driver tidak lama nunggu please banget adain fitur batal makan belum masak beli rugi waktu tunggu sia sia,negatif
terlalu banyak notifikasi tidak penting,1,terlalu banyak notifikasi tidak penting,negatif
bagus pelayanannya,5,bagus layan,positif
eror terus !!! gagal terus pesen makanan!!! disuruh nunggu 1 jam malah gagal terus makanan nya!!!! aplikasi sampah!!!!,1,error terus gagal terus sen makan suruh nunggu jam malah gagal terus makan aplikasi sampah,negatif
kenapa saya mesan makanan ada gangguan teknik padahal saya punya data paket,1,mesan makan ganggu teknik padahal punya data paket,negatif
Sangat bermanfaat tapi dilokasi&waktu ttt akses lama.,4,sangat manfaat lokasi waktu tt akses lama,positif
"ga punya app melolo, tp 2x gopay gw di pot buat app melolo. uda laporan 1x ga ada tdk lanjut, eh skrg di pot lgi. emang rada2 neh gojek.",1,tidak punya app melolo gopay pot buat app melolo uda lapor tidak tidak lanjut eh sekarang pot memang rada neh gojek,negatif
"driver pemalas, mau minta antar atau pesan makanan masa nunggunya hampir 2 jam + ujung ujungnya batal😂",1,driver malas mau minta antar pesan makan masa nunggunya hampir jam ujung ujung batal,negatif
"sudah beberapa kali saya main gopay, selalu saja pas mau menang tiba"" notif internet gk ada atau tiba"" lngsung end game, padahal saya belum nekan apa"", dan skrg pun gopay coin hadiahnya tambah dikit dan kebanyakan hadiah ruby, kalau buat game jgn tiba"" ubah gitu dong, gk konsisten dan jadinya malas main!, pdhal dulu game nya bagus"" dan asik, skrg kualitasnya tambah turun, L for gojek game!",1,beberapa kali main gopay selalu pas mau menang tiba notif internet tidak tiba lngsung end game padahal belum nekan apa sekarang gopay coin hadiah tambah dikit banyak hadiah ruby kalau buat game jangan tiba ubah gitu tidak konsisten jadi malas main pdhal dulu game bagus asik sekarang kualitas tambah turun for gojek game,negatif
sangat membantu,5,sangat bantu,positif
sip lah,5,sip,positif
mahal banget ongkirnya ini 1 jam aja hampir harga 100 ribuan tidak mutu buruk,1,mahal banget ongkirnya jam hampir harga ribu tidak mutu buruk,negatif
Terima kasih,5,terima kasih,positif
tolong di perbaiki lagi tiap mau login gopay / gojek verifikasi wajah gaga Mulu 😠😠😠😠😠😠😠,1,baik tiap mau login gopay gojek verifikasi wajah gaga mulu,negatif
"hari ini pesan gojek 15.500 sy cancel karna drivernya terlalu jauh, sy pesan ulang tarifnya jadi 20rb😭",1,hari pesan gojek cancel driver terlalu jauh pesan ulang tarif jadi rb,negatif
Sekarang tidak bisa memantau posisi gofood,2,sekarang tidak pantau posisi gofood,negatif
"makin sini makin parah posisi dmn dapet driver jauh"" terus",1,makin sini makin parah posisi dmn driver jauh terus,negatif
Tolong ditambahi fitur pembayaran dgn menggunakan QRIS dong?,3,tambah fitur bayar guna qris,netral
order gofood udah nunggu 1 jam 30 menit malah dibatalin,1,order gofood nunggu jam menit malah dibatalin,negatif
Cepat tepat dan nyaman,5,cepat tepat nyaman,positif
jangan tertipu sama balasan gojek udah dari hari kamis kasih laporan tapi enggak dijawab enggak niat banget perbaiki masalah cuma formalitas padahal aku udah kasih tahu ada masalah apa di email dan chat udah bikin laporan pas penilaian terkahir di jawab tapi pas lihat gojek dari hari Jumat enggak ada jawaban email atau chatan atau laporannya tapi balas di penilaian untuk menghubungi email.,1,jangan tipu sama balas gojek hari kamis kasih lapor enggak jawab enggak niat banget baik masalah cuma formalitas padahal kasih tahu masalah apa email chat bikin lapor pas nilai terkahir jawab pas lihat gojek hari jumat enggak jawab email chatan lapor balas nilai hubung email,negatif
good 👍🏻😊,5,good,positif
"tolong dong buat driver-driver gocar yang nakal tidak mau gerak hanya diam saja diberikan pelanggaran karena saya sendiri sudah mengalaminya hari ini sekitar 4 driver gocar yang hanya diam tanpa kejelasan dan jika mau membatalkan booking malah ada tulisan akan dikenakan denda Rp.3.000 untuk menghargai waktu driver, lantas waktu bagi yang memesan tidak diberi harga sama sekali kah???",1,buat driver driver gocar nakal tidak mau gerak diam beri langgar sendiri alam hari driver gocar diam tanpa jelas mau batal booking malah tulis kena denda rp harga waktu driver lantas waktu mes tidak beri harga sama sekali,negatif
"sulit sekali menggunakan fitur chat di gosend, telepon ga pernah nyambung, mau kirim nomor diblok akhirnya paket jd ga jelas",1,sulit sekali guna fitur chat gosend telepon tidak pernah nyambung mau kirim nomor blok akhir paket jadi tidak jelas,negatif
"gojekk apk termurah, selalu ngasih voucher terus makasii yaa jek ❤️, terus drivernya juga pada ramah dan baik baikk, oh yaa mapnya juga baguss enak diliat ga kayak apk lainn, terus ada koin juga, baguss deh pokoknya i love youu gojekk, penyelamat hidupku, kadang lebih murahan pake gojek daripada angkot jirr, semoga apknya semakin berkembang yaa, banyak yang pakee, sejahtera juga buat driver maupun penumpangnyaa 🤗.. 🫂⚘️🫰🏻",5,gojekk aplikasi murah selalu ngasih voucher terus makasii yaa jek terus driver ramah baik baikk yaa map bagus enak liat tidak kayak aplikasi lainn terus koin bagus pokok love youu gojekk selamat hidup kadang lebih murah pake gojek angkot jirr moga apknya makin kembang yaa banyak pakee sejahtera buat driver maupun penumpangnyaa,positif
"langganan 7000 perjalanan,masa iya gk bisa dipakai,jarak 500m aja 8000,mana gk bisa dibatalkan dan balik dana gopay nya",1,langgan jalan masa iya tidak pakai jarak mana tidak batal balik dana gopay,negatif
mau mesan makanan udh mengatur semua alamat tapi peta di tunjukan selalu beda dengan alamat saya tidak senang dengan aplikasi ini!!!,1,mau mesan makan atur semua alamat peta tunjuk selalu beda alamat tidak senang aplikasi,negatif
baguss,5,bagus,positif
masa gda gratis ongkir mahal lagi lelett,2,masa gda gratis ongkir mahal lelett,negatif
benci banget sama aplikasi ini karena rata2 kurir gada yg sopan. kadang motor yg di dapet juga beda plat sama ga enak bawanya. beda sama yg sebelah .,1,benci banget sama aplikasi rata kurir gada sopan kadang motor beda plat sama tidak enak bawa beda sama belah,negatif
keren,5,keren,positif
Payah banget sekarang,1,payah banget sekarang,negatif
"banyak castamer ... yang kaga menghargai dliver , dan tolong di pertimbangkan untuk PT gojek indonesia , castamer banyak yang seenaknya sendiri pakek komen"" yang kaga jelas ...kayak bocah",1,banyak castamer tidak harga dliver timbang pt gojek indonesia castamer banyak enak sendiri pakek komen tidak jelas kayak bocah,negatif
"Tolong Driver nya dikondisikan ya pihak GOJEK. terutama GOCAR sudah dapat driver tapi bisa 1 jam lebih tidak jemput, posisi driver tidak gerak dan tidak dicancel oleh driver nya. MERESAHKAN!",1,driver kondisi pihak gojek utama gocar driver jam lebih tidak jemput posisi driver tidak gerak tidak dicancel driver resah,negatif
sangat membantu bagi saya yg gak bisa naik motor,5,sangat bantu tidak naik motor,positif
susah masuk aneh aneh,1,susah masuk aneh aneh,negatif
"khusus buat pelanggan kojek khususnya manusia yg suka mesen food...kalian itu kalo mesen makanan jangan suka nyuruh2 driver naro makanan diteras rumah kalian, yg mana pelanggan nyuruh driver buka pager rumah kalian cuma buat naro makanan (ini udah bukan zaman COVID) kalian kan masih punya kaki, keluar buat nerima makanan emang kenapa sih...",1,khusus buat langgan kojek khusus manusia suka mesen food kalian kalau mesen makan jangan suka nyuruh driver naro makan teras rumah kalian mana langgan nyuruh driver buka pager rumah kalian cuma buat naro makan bukan zaman covid kalian kan punya kaki keluar buat nerima makan memang,negatif
senang ketemu driver anak muda yg semangat cari nafkah. gak mager.,5,senang ketemu driver anak muda semangat cari nafkah tidak mager,positif
