review,rating,date,thumbsUpCount,reviewCreatedVersion
"tolong banget nih ya, makanan nya belum dimasak, driver nya belum dapat; susah banget buat dapat driver, nunggu makanan nya lama, udah lama nunggu ternyata dibatalin. tolong kalau drivernya ga dapet dan udah lama nunggu, please banget Adain fitur untuk MEMBATALKAN, makanannya pun belum dimasak itu, pembeli yang rugi waktunya menunggu sia-sia.",1,2026-08-29 20:23:29,0,5.73.2
terlalu banyak notifikasi tidak penting,1,2026-08-29 20:20:45,0,5.74.1
bagus pelayanannya,5,2026-08-29 20:18:40,0,5.74.1
eror terus !!! gagal terus pesen makanan!!! disuruh nunggu 1 jam malah gagal terus makanan nya!!!! aplikasi sampah!!!!,1,2026-08-29 20:08:29,1,5.74.1
kenapa saya mesan makanan ada gangguan teknik padahal saya punya data paket,1,2026-08-29 20:05:33,0,
Sangat bermanfaat tapi dilokasi&waktu ttt akses lama.,4,2026-08-29 19:56:37,0,5.72.1
"ga punya app melolo, tp 2x gopay gw di pot buat app melolo. uda laporan 1x ga ada tdk lanjut, eh skrg di pot lgi. emang rada2 neh gojek.",1,2026-08-29 19:55:49,0,5.74.1
"driver pemalas, mau minta antar atau pesan makanan masa nunggunya hampir 2 jam + ujung ujungnya batal😂",1,2026-08-29 19:30:51,0,
"sudah beberapa kali saya main gopay, selalu saja pas mau menang tiba"" notif internet gk ada atau tiba"" lngsung end game, padahal saya belum nekan apa"", dan skrg pun gopay coin hadiahnya tambah dikit dan kebanyakan hadiah ruby, kalau buat game jgn tiba"" ubah gitu dong, gk konsisten dan jadinya malas main!, pdhal dulu game nya bagus"" dan asik, skrg kualitasnya tambah turun, L for gojek game!",1,2026-08-29 19:30:28,0,5.58.1
sangat membantu,5,2026-08-29 19:21:07,0,
sip lah,5,2026-08-29 18:46:50,0,5.74.1
mahal banget ongkirnya ini 1 jam aja hampir harga 100 ribuan tidak mutu buruk,1,2026-08-29 17:27:40,0,5.74.1
Terima kasih,5,2026-08-29 17:21:19,0,5.73.2
tolong di perbaiki lagi tiap mau login gopay / gojek verifikasi wajah gaga Mulu 😠😠😠😠😠😠😠,1,2026-08-29 16:59:24,0,5.42.1
"hari ini pesan gojek 15.500 sy cancel karna drivernya terlalu jauh, sy pesan ulang tarifnya jadi 20rb😭",1,2026-08-29 16:52:39,0,5.72.1
Sekarang tidak bisa memantau posisi gofood,2,2026-08-29 16:50:20,8,5.74.1
"makin sini makin parah posisi dmn dapet driver jauh"" terus",1,2026-08-29 16:36:41,0,5.74.1
Tolong ditambahi fitur pembayaran dgn menggunakan QRIS dong?,3,2026-08-29 16:13:52,0,5.74.1
order gofood udah nunggu 1 jam 30 menit malah dibatalin,1,2026-08-29 16:02:07,0,5.73.2
Cepat tepat dan nyaman,5,2026-08-29 15:34:50,0,5.74.1
jangan tertipu sama balasan gojek udah dari hari kamis kasih laporan tapi enggak dijawab enggak niat banget perbaiki masalah cuma formalitas padahal aku udah kasih tahu ada masalah apa di email dan chat udah bikin laporan pas penilaian terkahir di jawab tapi pas lihat gojek dari hari Jumat enggak ada jawaban email atau chatan atau laporannya tapi balas di penilaian untuk menghubungi email.,1,2026-08-29 15:25:04,0,5.74.1
good 👍🏻😊,5,2026-08-29 14:28:02,0,5.74.1
"tolong dong buat driver-driver gocar yang nakal tidak mau gerak hanya diam saja diberikan pelanggaran karena saya sendiri sudah mengalaminya hari ini sekitar 4 driver gocar yang hanya diam tanpa kejelasan dan jika mau membatalkan booking malah ada tulisan akan dikenakan denda Rp.3.000 untuk menghargai waktu driver, lantas waktu bagi yang memesan tidak diberi harga sama sekali kah???",1,2026-08-29 14:17:18,0,5.58.1
"sulit sekali menggunakan fitur chat di gosend, telepon ga pernah nyambung, mau kirim nomor diblok akhirnya paket jd ga jelas",1,2026-08-29 13:50:39,0,4.91.1
"gojekk apk termurah, selalu ngasih voucher terus makasii yaa jek ❤️, terus drivernya juga pada ramah dan baik baikk, oh yaa mapnya juga baguss enak diliat ga kayak apk lainn, terus ada koin juga, baguss deh pokoknya i love youu gojekk, penyelamat hidupku, kadang lebih murahan pake gojek daripada angkot jirr, semoga apknya semakin berkembang yaa, banyak yang pakee, sejahtera juga buat driver maupun penumpangnyaa 🤗.. 🫂⚘️🫰🏻",5,2026-08-29 13:42:33,0,5.69.1
ok,5,2026-08-29 13:28:13,0,5.5.1
"langganan 7000 perjalanan,masa iya gk bisa dipakai,jarak 500m aja 8000,mana gk bisa dibatalkan dan balik dana gopay nya",1,2026-08-29 13:24:37,0,
mau mesan makanan udh mengatur semua alamat tapi peta di tunjukan selalu beda dengan alamat saya tidak senang dengan aplikasi ini!!!,1,2026-08-29 13:23:23,0,
baguss,5,2026-08-29 13:22:30,0,5.74.1
masa gda gratis ongkir mahal lagi lelett,2,2026-08-29 12:49:46,0,
benci banget sama aplikasi ini karena rata2 kurir gada yg sopan. kadang motor yg di dapet juga beda plat sama ga enak bawanya. beda sama yg sebelah .,1,2026-08-29 12:45:37,0,
keren,5,2026-08-29 12:25:31,0,
Payah banget sekarang,1,2026-08-29 12:20:31,0,5.74.1
